key,scale,confidence,key_raw,hpcp_key,hpcp_confidence,chromagram,processing_time,error,filename,detector,actual_key,exact_match,tonic_match,is_relative,is_parallel,chroma_stft,chroma_cens
F major,major,0.9034420251846313,F,B minor,0.502143919467926,"[0.24768970906734467, 0.3056492209434509, 0.018949933350086212, 0.2667381167411804, 0.020405814051628113, 0.25818803906440735, 0.1080312579870224, 0.10177773982286453, 0.34094053506851196, 0.9960746169090271, 0.20683003962039948, 0.014074452221393585]",0.29208803176879883,,jazz_100bpm_Bb_modulation.mp3,Essentia_KeyExtractor,Bb,False,False,False,False,,
G major,major,0.9208689219251781,G,,,"[0.41955462098121643, 0.11159515380859375, 0.3772769272327423, 0.20376190543174744, 0.26761454343795776, 0.5030602812767029, 0.11530411243438721, 0.28582900762557983, 0.08103834837675095, 0.37724724411964417, 0.3737858533859253, 0.09228406846523285]",1.3857619762420654,,jazz_100bpm_Bb_modulation.mp3,Librosa_Chroma,Bb,False,False,False,False,"[0.23556557297706604, 0.17187078297138214, 0.2691437005996704, 0.1998695284128189, 0.24078860878944397, 0.3832041025161743, 0.16726481914520264, 0.223297119140625, 0.12110590934753418, 0.3374376595020294, 0.3789255619049072, 0.1528501808643341]","[0.3099568486213684, 0.04614078998565674, 0.26337534189224243, 0.11923490464687347, 0.20296607911586761, 0.41180798411369324, 0.035552557557821274, 0.1922525316476822, 0.022666538134217262, 0.32933247089385986, 0.29400351643562317, 0.0333784855902195]"
C major,major,0.9797303080558777,C,C major,0.9113961458206177,"[0.3444954454898834, 0.15806877613067627, 0.3252889811992645, 0.6174943447113037, 0.29440635442733765, 0.41228994727134705, 0.23698751628398895, 0.4590895473957062, 0.3524029552936554, 0.20393215119838715, 0.5768429636955261, 0.18468637764453888]",0.31954097747802734,,pop_115bpm_C_happy.mp3,Essentia_KeyExtractor,C,False,True,False,False,,
C major,major,0.9790716607596381,C,,,"[0.6509730815887451, 0.03793884441256523, 0.23524346947669983, 0.02809814363718033, 0.3990306854248047, 0.24199867248535156, 0.03168749436736107, 0.5612890124320984, 0.03384744003415108, 0.23120540380477905, 0.021317241713404655, 0.20623545348644257]",1.3894319534301758,,pop_115bpm_C_happy.mp3,Librosa_Chroma,C,False,True,False,False,"[0.4587250351905823, 0.1835484802722931, 0.1603761613368988, 0.1417730450630188, 0.39055129885673523, 0.28205886483192444, 0.1841042935848236, 0.5744890570640564, 0.17901265621185303, 0.2509726285934448, 0.09809978306293488, 0.33900877833366394]","[0.45904630422592163, 0.014759914949536324, 0.1630757600069046, 0.008069244213402271, 0.2981136441230774, 0.17588861286640167, 0.009000652469694614, 0.43813762068748474, 0.008152536116540432, 0.1827334761619568, 0.0028884815983474255, 0.1636846363544464]"
F# minor,minor,0.8911924362182617,F#,B major,0.7942131757736206,"[0.23686757683753967, 0.11087441444396973, 0.41583091020584106, 0.20566461980342865, 0.46885234117507935, 0.23233915865421295, 0.28066256642341614, 0.25454410910606384, 0.18573297560214996, 0.6489879488945007, 0.1521865725517273, 0.2369913011789322]",0.3224461078643799,,electronic_125bpm_Fsharp_minor.mp3,Essentia_KeyExtractor,F#m,False,False,False,False,,
F# major,major,0.7809130105742752,F#,,,"[0.20855633914470673, 0.5044938325881958, 0.2469252347946167, 0.14538341760635376, 0.19808702170848846, 0.19590234756469727, 0.6855360269546509, 0.16697198152542114, 0.1694159060716629, 0.17868821322917938, 0.11276564747095108, 0.38285329937934875]",1.4563450813293457,,electronic_125bpm_Fsharp_minor.mp3,Librosa_Chroma,F#m,False,False,False,False,"[0.2578720152378082, 0.335789293050766, 0.23503044247627258, 0.09219948202371597, 0.10191478580236435, 0.19711951911449432, 0.5627731084823608, 0.2713019549846649, 0.12954846024513245, 0.12404797971248627, 0.117213673889637, 0.36091214418411255]","[0.1947665810585022, 0.48184001445770264, 0.24587084352970123, 0.060445982962846756, 0.1495577096939087, 0.16038191318511963, 0.5888368487358093, 0.12525542080402374, 0.1182599887251854, 0.1429697573184967, 0.023352431133389473, 0.28830957412719727]"
C minor,minor,0.8062518239021301,C,F minor,0.8109298944473267,"[0.1755749136209488, 0.1392476111650467, 0.18456952273845673, 0.7147148847579956, 0.3007086515426636, 0.30450356006622314, 0.2504730224609375, 0.25209614634513855, 0.40572869777679443, 0.1941145658493042, 0.38245588541030884, 0.19041571021080017]",0.31959080696105957,,transition_120to140bpm_C_gradual.mp3,Essentia_KeyExtractor,C,False,True,False,False,,
C major,major,0.5596844835422928,C,,,"[0.834386944770813, 0.661806046962738, 0.5416762828826904, 0.4584346115589142, 0.38935765624046326, 0.6059565544128418, 0.4390546381473541, 0.4983670115470886, 0.2905186712741852, 0.3143315017223358, 0.2787568271160126, 0.24324004352092743]",1.3852341175079346,,transition_120to140bpm_C_gradual.mp3,Librosa_Chroma,C,False,True,False,False,"[0.5559215545654297, 0.3916627764701843, 0.2068617343902588, 0.13822230696678162, 0.19850587844848633, 0.3569541573524475, 0.3113083839416504, 0.3530242145061493, 0.21373990178108215, 0.12072911113500595, 0.1578335016965866, 0.3071656823158264]","[0.4856916069984436, 0.45291802287101746, 0.3141508400440216, 0.21811330318450928, 0.22246304154396057, 0.3192662000656128, 0.22901229560375214, 0.28376200795173645, 0.13701756298542023, 0.18793776631355286, 0.11491765826940536, 0.0391542986035347]"
E minor,minor,0.7710591554641724,E,E minor,0.8401123881340027,"[0.2434368133544922, 0.19467060267925262, 0.6337184309959412, 0.2681237757205963, 0.3334173560142517, 0.3777618110179901, 0.36289381980895996, 0.5302190780639648, 0.3385666012763977, 0.5318732261657715, 0.34513163566589355, 0.3057202100753784]",0.32172489166259766,,dnb_174bpm_Bm_constant.mp3,Essentia_KeyExtractor,Bm,False,False,False,False,,
C# major,major,0.8092734650910863,C#,,,"[0.23605205118656158, 0.22748352587223053, 0.22916626930236816, 0.2193225622177124, 0.4579746425151825, 0.21654051542282104, 0.4322170913219452, 0.20901407301425934, 0.13206183910369873, 0.13596326112747192, 0.16506178677082062, 0.6197275519371033]",1.3948709964752197,,dnb_174bpm_Bm_constant.mp3,Librosa_Chroma,Bm,False,False,False,False,"[0.2160656899213791, 0.06848546862602234, 0.08842293918132782, 0.16016682982444763, 0.27864837646484375, 0.24110154807567596, 0.33879154920578003, 0.19765931367874146, 0.048718664795160294, 0.05751502886414528, 0.21033628284931183, 0.5658958554267883]","[0.25721117854118347, 0.2697561979293823, 0.26177769899368286, 0.19214046001434326, 0.3945294916629791, 0.23712067306041718, 0.3536866307258606, 0.17325900495052338, 0.051423098891973495, 0.04609815776348114, 0.11770208925008774, 0.5066244006156921]"
E minor,minor,0.7953900694847107,E,E major,0.8541259765625,"[0.09497347474098206, 0.0922817662358284, 0.5701783895492554, 0.14775727689266205, 0.17394858598709106, 0.1486739218235016, 0.1437428593635559, 0.5001579523086548, 0.13580183684825897, 0.5814188122749329, 0.10622485727071762, 0.2919149398803711]",0.31841516494750977,,rock_120bpm_E_constant.mp3,Essentia_KeyExtractor,E,False,True,False,False,,
